Video_ID,Channel_ID,Channel_Name,Channel_UC,YouTube_Video_ID,Video_Title,Year,PublishedAt,DurationSeconds,DurationISO,Matched_Keywords,CaptionFlag,Transcript_Available,Transcript_Provider,Transcript_Reason,Transcript_Path,Meta_Path
V0001,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,OfwHWjZvvuE,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,2025,2025-09-08T14:38:04Z,382,PT6M22S,ir;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0001.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0001.meta.json
V0002,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,5fu-wYbBvuY,Hide Your RDP: Password Spray Leads to RansomHub Deployment,2025,2025-06-30T00:52:31Z,343,PT5M43S,ir;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0002.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0002.meta.json
V0003,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,7HD-RYqIm3Q,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,2025,2025-05-19T00:46:35Z,365,PT6M5S,ir;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0003.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0003.meta.json
V0004,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,hpgjomPwHp4,Fake Zoom Ends in BlackSuit Ransomware,2025,2025-03-31T00:30:19Z,371,PT6M11S,ir;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0004.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0004.meta.json
V0005,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,BMTtJLEJRGQ,Confluence Exploit Leads to LockBit Ransomware,2025,2025-02-24T00:33:55Z,341,PT5M41S,ir;lockbit;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0005.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0005.meta.json
V0006,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,Fh_OcBYjzL8,DFIR Discussions: The Curious Case of an Egg-Cellent Resume,2025,2025-01-20T00:52:28Z,2392,PT39M52S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0006.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0006.meta.json
V0007,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,CQ0zOWnHfHE,The Curious Case of an Egg-Cellent Resume,2024,2024-12-02T02:14:13Z,431,PT7M11S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0007.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0007.meta.json
V0008,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,7AhSj5GGVRw,Nitrogen Campaign Drops Sliver and Ends With BlackCat Ransomware,2024,2024-09-30T01:00:24Z,406,PT6M46S,blackcat;ir;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0008.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0008.meta.json
V0009,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,t2sxRDE0Pr4,BlackSuit Ransomware,2024,2024-08-26T00:41:51Z,316,PT5M16S,alphv;ir;ransomware,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0009.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0009.meta.json
V0010,C01,The DFIR Report,UC6R2MPMkkCqFxvAdQAI_23A,wyg-YtiUFUo,"Threat Actors' Toolkit: Leveraging Sliver, PoshC2 & Batch Scripts",2024,2024-08-12T02:12:35Z,346,PT5M46S,ir,false,False,local_asr_whisper,no_local_audio,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0010.txt,/home/henrykabuye/Ransap/Publications 2026/Proposal_2026/Knowledge_Agent/transcripts/C01_The_DFIR_Report/V0010.meta.json
